playerid,PlayerSeason,WAR
1005053,1921 Tommy Griffith,2.8
1001716,1894 Oyster Burns,2.8
1012027,1969 Ted Sizemore,2.8
1003683,1947 Bruce Edwards,2.8
1307,2009 Orlando Hudson,2.8
1004343,1934 Lonny Frey,2.8
1012865,1934 Danny Taylor,2.8
1001398,1929 Rube Bressler,2.8
1005120,1981 Pedro Guerrero,2.7
1013828,1919 Zack Wheat,2.7
1001716,1890 Oyster Burns,2.7
1001656,1909 Al Burch,2.7
1006278,1902 Charlie Irwin,2.7
1007386,1941 Cookie Lavagetto,2.7
1013828,1915 Zack Wheat,2.7
1007233,1895 Candy LaChance,2.7
1011667,1987 Mike Scioscia,2.7
1001716,1891 Oyster Burns,2.6
1007129,1938 Ernie Koy,2.6
1007233,1897 Candy LaChance,2.6
1005478,1936 Buddy Hassett,2.6
662,2003 Paul Lo Duca,2.6
1002241,1957 Gino Cimoli,2.6
1000450,1981 Dusty Baker,2.6
659,1996 Eric Karros,2.6
1000232,1897 John Anderson,2.6
1007559,1935 Sam Leslie,2.6
1004409,1956 Carl Furillo,2.5
457,1997 Todd Zeile,2.5
1007386,1937 Cookie Lavagetto,2.5
1013828,1918 Zack Wheat,2.5
1014053,1971 Maury Wills,2.5
1003084,1964 Tommy Davis,2.5
1007830,1905 Harry Lumley,2.5
1010358,1885 George Pinkney,2.5
1008145,1988 Mike Marshall,2.5
1006619,1908 Tim Jordan,2.5
1013615,1891 John Ward,2.5
5631,2014 Matt Kemp,2.5
1002957,1893 Tom Daly,2.5
658,2002 Brian Jordan,2.5
1012551,1925 Milt Stock,2.5
5677,2012 A.J. Ellis,2.5
1003088,1966 Willie Davis,2.5
1002622,1893 Tommy Corcoran,2.5
1007473,1967 Jim Lefebvre,2.4
1007343,1960 Norm Larker,2.4
1011853,1987 John Shelby,2.4
1013554,1994 Tim Wallach,2.4
1008719,1942 Joe Medwick,2.4
1007093,1919 Ed Konetchy,2.4
662,2002 Paul Lo Duca,2.4
443,2007 Juan Pierre,2.4
1011900,1895 Billy Shindle,2.4
1006555,1898 Fielder Jones,2.4
1000450,1982 Dusty Baker,2.4
1011853,1988 John Shelby,2.4
1012143,1889 Germany Smith,2.4
1908,2013 Adrian Gonzalez,2.4
1006625,1947 Spider Jorgensen,2.3
1014053,1966 Maury Wills,2.3
659,1998 Eric Karros,2.3
1003088,1963 Willie Davis,2.3
1008089,1937 Heinie Manush,2.3
1010009,1971 Wes Parker,2.3
1006466,1920 Jimmy Johnston,2.3
