Season,Name,WAR,playerid
1958,Eddie Mathews,5.8,1008236
1993,Ron Gant,5.7,1032
1980,Dale Murphy,5.7,1009355
1962,Eddie Mathews,5.7,1008236
1935,Wally Berger,5.7,1000875
1875,Ross Barnes,5.6,1000573
1984,Dale Murphy,5.6,1009355
2019,Ronald Acuna Jr.,5.6,18401
1950,Sid Gordon,5.5,1004877
1936,Tony Cuccinello,5.5,1002848
1897,Jimmy Collins,5.5,1002455
1897,Billy Hamilton,5.4,1005270
1956,Eddie Mathews,5.4,1008236
1950,Earl Torgeson,5.4,1013124
1993,Jeff Blauser,5.4,1001062
1891,Harry Stovey,5.4,1012586
1891,Herman Long,5.3,1007731
2012,Michael Bourn,5.3,6387
2004,Andruw Jones,5.3,96
1973,Davey Johnson,5.3,1006440
2012,Jason Heyward,5.3,4940
2003,Andruw Jones,5.2,96
1965,Joe Torre,5.2,1013133
1997,Jeff Blauser,5.2,1001062
1970,Hank Aaron,5.2,1000001
1956,Johnny Logan,5.2,1007705
2018,Freddie Freeman,5.2,5361
1892,Herman Long,5.2,1007731
1973,Hank Aaron,5.2,1000001
1900,Billy Hamilton,5.2,1005270
1937,Gene Moore,5.2,1009110
1997,Kenny Lofton,5.2,246
1912,Bill Sweeney,5.2,1012771
1872,Ross Barnes,5.2,1000573
1965,Eddie Mathews,5.2,1008236
2005,Marcus Giles,5.2,89
1992,Terry Pendleton,5.1,1010157
1965,Felipe Alou,5.1,1000177
1993,David Justice,5.1,923
1898,Billy Hamilton,5.1,1005270
1990,Ron Gant,5.1,1032
1992,David Justice,5.1,923
1998,Andres Galarraga,5.0,1390
1888,Billy Nash,5.0,1009456
2013,Freddie Freeman,5.0,5361
1967,Joe Torre,5.0,1013133
1964,Rico Carty,5.0,1002025
1902,Fred Tenney,4.9,1012916
1925,Dave Bancroft,4.9,1000503
2001,Andruw Jones,4.9,96
1944,Tommy Holmes,4.9,1005980
1949,Bob Elliott,4.9,1003733
1974,Ralph Garr,4.9,1004554
2019,Josh Donaldson,4.9,5038
1978,Jeff Burroughs,4.9,1001731
1934,Wally Berger,4.9,1000875
1951,Sid Gordon,4.9,1004877
1879,Charley Jones,4.9,1006535
2005,Chipper Jones,4.9,97
1873,Ross Barnes,4.8,1000573
1948,Jeff Heath,4.8,1005560
1994,Fred McGriff,4.8,293
1875,Cal McVey,4.8,1008696
1966,Rico Carty,4.8,1002025
1971,Ralph Garr,4.8,1004554
2002,Gary Sheffield,4.8,114
1952,Sid Gordon,4.8,1004877
1972,Dusty Baker,4.8,1000450
1887,Sam Wise,4.7,1014157
1907,Ginger Beaumont,4.7,1000733
1914,Rabbit Maranville,4.7,1008099
2014,Jason Heyward,4.7,4940
1883,Jack Burdock,4.7,1001664
1914,Johnny Evers,4.7,1003876
2010,Jason Heyward,4.6,4940
1915,Sherry Magee,4.6,1007965
1985,Dale Murphy,4.6,1009355
1907,Dave Brain,4.6,1001335
1917,Rabbit Maranville,4.6,1008099
1996,Marquis Grissom,4.6,652
2019,Ozzie Albies,4.6,16556
1916,Rabbit Maranville,4.5,1008099
2012,Martin Prado,4.5,3312
1892,Billy Nash,4.5,1009456
2005,Rafael Furcal,4.5,88
1897,Hugh Duffy,4.5,1003533
1875,George Wright,4.5,1014277
1930,Wally Berger,4.5,1000875
2017,Tyler Flowers,4.5,9134
1959,Del Crandall,4.5,1002729
2014,Freddie Freeman,4.4,5361
1958,Del Crandall,4.4,1002729
1950,Bob Elliott,4.4,1003733
1970,Orlando Cepeda,4.4,1002103
1883,John Morrill,4.4,1009214
1940,Eddie Miller,4.4,1008892
1895,Hugh Duffy,4.4,1003533
2017,Freddie Freeman,4.4,5361
1963,Joe Torre,4.4,1013133
1936,Wally Berger,4.4,1000875
1937,Tony Cuccinello,4.4,1002848
1875,Deacon White,4.3,1013860
1939,Max West,4.3,1013809
1972,Darrell Evans,4.3,1003864
1888,Dick Johnston,4.3,1006445
1888,King Kelly,4.3,1006806
1972,Hank Aaron,4.3,1000001
2006,Brian McCann,4.3,4810
1964,Eddie Mathews,4.2,1008236
2012,Brian McCann,4.2,4810
1956,Joe Adcock,4.2,1000067
1973,Dusty Baker,4.2,1000450
2001,Brian Jordan,4.2,658
1945,Carden Gillenwater,4.1,1004709
1873,George Wright,4.1,1014277
1932,Wally Berger,4.1,1000875
1889,Hardy Richardson,4.1,1010909
1908,Bill Dahlen,4.1,1002924
1928,Lance Richbourg,4.1,1010921
1899,Jimmy Collins,4.1,1002455
1917,Red Smith,4.1,1012197
1979,Gary Matthews,4.0,1008255
1959,Johnny Logan,4.0,1007705
2003,Rafael Furcal,4.0,88
1990,Lonnie Smith,4.0,1012176
1907,Fred Tenney,4.0,1012916
