Season,Name,WAR,playerid
1924,Earl Whitehill,2.5,1013866
1912,Joe Lake,2.5,1007262
1953,Ned Garver,2.5,1004556
1943,Stubby Overmire,2.5,1009911
1947,Virgil Trucks,2.5,1013203
1928,Ownie Carroll,2.5,1002003
1902,George Mullin,2.5,1009302
1987,Doyle Alexander,2.5,1000122
1965,Joe Sparma,2.5,1012307
2002,Mike Maroth,2.4,1508
2004,Jeremy Bonderman,2.4,1667
1965,Hank Aguirre,2.4,1000087
1907,Ed Killian,2.4,1006908
1975,Ray Bare,2.4,1000536
1952,Ted Gray,2.4,1004978
1905,Bill Donovan,2.4,1003393
1905,George Mullin,2.4,1009302
1941,Johnny Gorsica,2.4,1004890
1982,Milt Wilcox,2.4,1013939
1952,Bill Wight,2.4,1013933
1917,Bernie Boland,2.4,1001137
1941,Dizzy Trout,2.4,1013196
1905,Ed Killian,2.4,1006908
1906,George Mullin,2.4,1009302
1902,Win Mercer,2.4,1008778
1926,Sam Gibson,2.4,1004674
1927,Lil Stoner,2.4,1012570
1918,Bernie Boland,2.3,1001137
2014,David Price,2.3,3184
1986,Frank Tanana,2.3,1012818
1923,Syl Johnson,2.3,1006505
1913,Hooks Dauss,2.3,1003011
1938,Harry Eisenstat,2.3,1003717
1951,Virgil Trucks,2.3,1013203
1994,David Wells,2.3,855
2011,Rick Porcello,2.3,2717
2011,Max Scherzer,2.3,3137
1916,Hooks Dauss,2.3,1003011
1959,Paul Foytack,2.3,1004287
2011,Doug Fister,2.3,9425
1939,Al Benton,2.3,1000853
1948,Fred Hutchinson,2.2,1006238
1943,Hal White,2.2,1013877
1993,John Doherty,2.2,1003358
1967,Joe Sparma,2.2,1012307
1996,Felipe Lira,2.2,1007649
2006,Nate Robertson,2.2,1620
2018,Matthew Boyd,2.2,15440
1966,Mickey Lolich,2.2,1007712
1984,Juan Berenguer,2.2,1000865
1935,Elden Auker,2.2,1000366
1925,Dutch Leonard,2.2,1007532
1933,Vic Sorrell,2.2,1012283
1979,Aurelio Lopez,2.2,1007753
1982,Jack Morris,2.2,1009211
1901,Joe Yeager,2.2,1014331
2000,Hideo Nomo,2.1,666
1958,Billy Hoeft,2.1,1005893
1909,Ed Willett,2.1,1013966
1945,Stubby Overmire,2.1,1009911
1957,Paul Foytack,2.1,1004287
1995,David Wells,2.1,855
1980,Dan Schatzeder,2.1,1011527
1938,Elden Auker,2.1,1000366
1941,Hal Newhouser,2.1,1009535
1915,Jean Dubuc,2.1,1003519
1929,Vic Sorrell,2.1,1012283
1988,Frank Tanana,2.1,1012818
1997,Brian Moehler,2.1,480
1960,Hank Aguirre,2.1,1000087
1911,Ed Lafitte,2.1,1007250
1918,Rudy Kallio,2.1,1006680
1981,Dan Petry,2.1,1010246
2000,Steve Sparks,2.1,499
1972,Woodie Fryman,2.1,1004381
1913,Jean Dubuc,2.1,1003519
1920,Dutch Leonard,2.1,1007532
2006,Kenny Rogers,2.1,1277
2017,Matthew Boyd,2.1,15440
1939,Archie McKain,2.1,1008577
1978,Jack Billingham,2.0,1000970
1938,George Gill,2.0,1004719
1924,Lil Stoner,2.0,1012570
1996,Omar Olivares,2.0,1009771
1953,Billy Hoeft,2.0,1005893
1983,Milt Wilcox,2.0,1013939
1932,Chief Hogsett,2.0,1005930
1919,Bernie Boland,2.0,1001137
1947,Art Houtteman,2.0,1006066
1980,Milt Wilcox,2.0,1013939
2005,Mike Maroth,2.0,1508
2004,Nate Robertson,2.0,1620
2010,Rick Porcello,2.0,2717
1970,Mike Kilkenny,2.0,1006901
1929,Ownie Carroll,2.0,1002003
2006,Joel Zumaya,2.0,4699
1978,John Hiller,2.0,1005817
1926,Ken Holloway,1.9,1005966
2019,Daniel Norris,1.9,13475
1927,Rip Collins,1.9,1002463
1921,Red Oldham,1.9,1009762
1992,John Doherty,1.9,1003358
1921,Hooks Dauss,1.9,1003011
1941,Al Benton,1.9,1000853
1963,Mickey Lolich,1.9,1007712
1922,Red Oldham,1.9,1009762
1972,Tom Timmermann,1.9,1013071
1904,Bill Donovan,1.9,1003393
1987,Mike Henneman,1.9,1005656
1932,Whit Wyatt,1.9,1014304
1911,Ed Willett,1.9,1013966
1911,Ed Summers,1.9,1012719
1911,Bill Donovan,1.9,1003393
1912,Jean Dubuc,1.9,1003519
1953,Ralph Branca,1.9,1001343
1913,Ed Willett,1.9,1013966
1991,Frank Tanana,1.9,1012818
1925,Lil Stoner,1.9,1012570
1997,Omar Olivares,1.9,1009771
1973,Jim Perry,1.9,1010213
1915,Bernie Boland,1.9,1001137
1926,Ed Wells,1.9,1013766
1977,Fernando Arroyo,1.9,1000327
1920,Howard Ehmke,1.8,1003707
1972,Bill Slayback,1.8,1012062
2007,Nate Robertson,1.8,1620
1912,George Mullin,1.8,1009302
1954,Al Aber,1.8,1000016
1964,Hank Aguirre,1.8,1000087
1999,Doug Brocail,1.8,551
1932,Tommy Bridges,1.8,1001421
1954,Billy Hoeft,1.8,1005893
