pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,9/24/2019,98.2,-2.61,6.15,"Harper, Bryce",547180,519326,home_run,hit_into_play,,,,,4,Bryce Harper homers (34) on a line drive to right center field.,R,L,R,WSH,PHI,X,,line_drive,3,1,2019,-0.64,1.16,-0.3,2.1,,,,2,7,Top,209.66,30.24,,,543228,,,7.665192055,-142.69765,-8.101261069,-10.34971049,31.35772001,-14.80104997,3.17,1.59,442,116.4,22,97.9,2512,6.1,565970,519326,543228,571431,452678,543685,607208,665742,645302,594809,54.4,0.973,1.805,2,1,0,3,6,56,5,4-Seam Fastball,6,4,4,6,5,6,5,6,Infield shift,Standard,209,-0.106,0.943
FC,9/4/2019,91.4,-1.53,5.8,"Soler, Jorge",624585,429719,home_run,hit_into_play,,,,,5,Jorge Soler homers (40) on a fly ball to left field.,R,R,R,KC,DET,X,,fly_ball,0,0,2019,0,0.59,-0.18,2.96,,,,2,5,Bot,,,,,668670,,,3.385927084,-133.1162591,-2.585821794,-0.645215694,26.24552888,-24.93000152,3.6,1.84,450,115.7,26,91.3,2309,6,565773,429719,668670,600869,605612,608475,650489,621514,622682,641513,54.53,1,1.936,2,1,0,3,6,40,1,Cutter,2,3,2,3,3,3,3,3,Infield shift,Standard,180,0.165,1
FF,8/20/2019,90,-2.05,6.01,"Judge, Aaron",592450,465657,home_run,hit_into_play,,,,,5,Aaron Judge homers (13) on a fly ball to left center field.,R,R,R,OAK,NYY,X,,fly_ball,1,0,2019,-0.37,1.68,-0.26,3.13,,,,0,8,Top,40.07,19.15,,,543302,,,5.237320635,-130.8987239,-4.756674561,-5.39946932,27.62433577,-12.03631712,3.91,1.87,467,116,24,90,2290,6.3,566148,465657,543302,621566,543377,656305,543760,543257,592192,572039,54.16,1,1.93,2,1,0,3,6,60,2,4-Seam Fastball,6,1,1,6,2,6,2,6,Standard,Standard,192,-0.017,0.963
FF,8/15/2019,92.6,-1.68,5.91,"Sánchez, Gary",596142,592644,home_run,hit_into_play,,,,,6,Gary Sanchez homers (27) on a fly ball to center field.,R,R,R,NYY,CLE,X,,fly_ball,3,2,2019,-0.21,1.47,0.53,2.16,,,,0,6,Bot,96.42,13.9,,,547379,,,6.098812332,-134.6391228,-6.931385772,-3.906952343,29.13066914,-13.14352441,3.28,1.59,441,116,19,92.4,2317,6.2,567521,592644,547379,467793,543401,608070,596019,571980,656185,624577,54.3,0.953,1.614,2,1,0,3,6,58,8,4-Seam Fastball,2,12,2,12,12,3,3,12,Infield shift,Standard,188,0.002,0.929
CH,8/8/2019,83.6,2.44,6.18,"Aquino, Aristides",606157,430935,home_run,hit_into_play,,,,,8,Aristides Aquino homers (3) on a fly ball to left field.   Eugenio Suarez scores.,R,R,L,CIN,CHC,X,,fly_ball,1,1,2019,1.19,0.42,-0.08,2.29,,,553993,1,3,Bot,20.92,40.56,,,518960,,,-8.10136454,-121.4880196,-3.377446552,13.22488801,21.42970298,-27.64748717,3.75,1.77,445,118.3,20,83.5,1601,6.1,565277,430935,518960,519203,664023,592178,595879,592206,546991,518792,54.43,0.967,1.673,2,1,0,3,6,30,3,Changeup,1,5,1,5,5,3,3,5,Standard,Standard,109,0.137,1.725
SI,8/2/2019,89.7,2.31,5.23,"Acuña Jr., Ronald",660670,622072,home_run,hit_into_play,,,,,8,Ronald Acuna homers (26) on a fly ball to left center field.,R,R,L,ATL,CIN,X,,fly_ball,1,0,2019,1.14,1.02,0.11,2.36,,,,0,6,Bot,27.14,27.64,,,571657,,,-7.814910919,-130.4184675,-3.232091949,14.53830511,26.98868522,-20.09200802,3.67,1.85,463,115.9,28,89.6,1966,6.2,567221,622072,571657,458015,642165,553993,606299,608385,669222,606157,54.26,1,1.935,2,1,0,3,6,48,2,Sinker,1,5,1,5,5,2,2,5,Standard,Standard,132,0.063,0.963
FF,7/5/2019,98.4,-0.04,6.71,"Judge, Aaron",592450,592773,home_run,hit_into_play,,,,,2,Aaron Judge homers (9) on a line drive to center field.,R,R,R,TB,NYY,X,,line_drive,0,0,2019,-0.83,1.53,0.26,3.53,,,,0,11,Top,99.45,13.03,,,518595,,,2.665886031,-142.9432353,-6.498630351,-11.75984483,36.36266679,-10.37399358,3.93,1.88,442,116.3,19,96.8,2374,5.7,566709,592773,518595,663993,621563,670712,642715,502054,595281,628338,54.78,0.953,1.614,2,1,0,3,6,79,1,4-Seam Fastball,4,4,4,4,5,4,5,4,Infield shift,Standard,208,-0.342,1
FF,6/20/2019,95.3,-1.98,5.57,"Alonso, Pete",624413,543022,home_run,hit_into_play,,,,,4,Pete Alonso homers (25) on a line drive to left field.   Jeff McNeil scores.,R,R,R,CHC,NYM,X,,line_drive,1,1,2019,-0.83,1.39,-0.56,2.25,,,643446,0,3,Top,50.86,64.02,,,575929,,,5.534474567,-138.6467514,-6.158768791,-11.74601671,28.64927103,-13.36087589,3.31,1.59,409,117,21,94.9,2572,5.9,565161,543022,575929,519203,518614,592178,595879,656941,518792,471865,54.62,0.973,1.768,2,1,0,3,6,17,3,4-Seam Fastball,0,1,1,0,3,0,3,0,Standard,Standard,211,-0.154,1.587
CH,5/22/2019,87,-1.95,6.25,"Bell, Josh",605137,592351,home_run,hit_into_play,,,,,1,Josh Bell homers (15) on a fly ball to right field.,R,L,R,PIT,COL,X,,fly_ball,1,1,2019,-0.87,1.17,-0.52,3.09,,,,0,2,Bot,226.85,33.36,,,547172,,,5.127726924,-126.6469256,-3.788144394,-10.20496469,23.06906961,-19.24098992,3.64,1.73,454,116.2,27,86.7,1705,5.8,566199,592351,547172,502517,663898,571448,596115,606132,435622,453568,54.67,1,1.935,2,1,0,3,6,16,3,Changeup,0,3,0,3,3,1,1,3,Strategic,Standard,217,0.09,1.012
CH,5/11/2019,89.9,2.17,5.82,"Cron, C.J.",543068,642397,home_run,hit_into_play,,,,,7,C.J. Cron homers (8) on a line drive to left field.   Nelson Cruz scores.    Eddie Rosario scores.,R,R,L,MIN,DET,X,,line_drive,1,0,2019,0.95,1.17,-0.48,2.19,,443558,592696,0,5,Bot,19.48,73.78,,,606988,,,-8.666923883,-130.7857212,-5.649355003,12.73688249,24.59799203,-17.51157716,3.61,1.68,386,115.1,19,91,2117,6.8,566965,642397,606988,543308,592348,600869,500135,621514,592444,592206,53.74,0.967,1.647,2,1,0,3,6,45,2,Changeup,4,3,4,3,3,7,7,3,Standard,Standard,141,0.146,1.867
