Season,Name,WAR,playerid
1895,Willie Keeler,6,1006747
1980,Andre Dawson,6,1003091
1982,Dale Murphy,6,1009355
1999,Shawn Green,6,651
1965,Roberto Clemente,6,1002340
1974,Reggie Smith,6,1012201
1890,Hugh Duffy,5.9,1003533
1888,Jimmy Ryan,5.9,1011341
2008,Manny Ramirez,5.9,210
1890,Tommy McCarthy,5.9,1008379
1982,Gary Roenicke,5.9,1011120
1891,Hugh Duffy,5.9,1003533
1970,Rusty Staub,5.9,1012440
2016,Adam Eaton,5.9,11205
2005,Brian Giles,5.9,990
1907,Sam Crawford,5.9,1002748
2018,J.D. Martinez,5.9,6184
2004,Moises Alou,5.9,261
1911,Sam Crawford,5.9,1002748
1955,Hank Aaron,5.9,1000001
1911,Frank Schulte,5.9,1011631
2004,Vladimir Guerrero,5.9,778
1889,Mike Tiernan,5.9,1013062
2003,Manny Ramirez,5.8,210
1913,Gavvy Cravath,5.8,1002735
1931,Mel Ott,5.8,1009904
1944,Dixie Walker,5.8,1013512
1914,Sam Crawford,5.8,1002748
1995,Tim Salmon,5.8,32
1942,Bill Nicholson,5.8,1009554
1909,Mike Mitchell,5.8,1009007
1966,Tony Oliva,5.8,1009772
1955,Stan Musial,5.8,1009405
2000,Sammy Sosa,5.8,302
1891,Tom Brown,5.8,1001562
1890,Ed Swartwood,5.8,1012766
1948,Tommy Henrich,5.8,1005664
1956,Frank Robinson,5.8,1011066
1971,Merv Rettenmund,5.8,1010846
1939,George Selkirk,5.7,1011732
1979,Ken Singleton,5.7,1012011
2004,Bobby Abreu,5.7,945
1971,Rusty Staub,5.7,1012440
2010,Carlos Gonzalez,5.7,7287
1978,Jack Clark,5.7,1002288
1933,Pepper Martin,5.7,1008189
1980,Dale Murphy,5.7,1009355
2003,Ichiro Suzuki,5.7,1101
1998,Derek Bell,5.7,1000801
1896,Willie Keeler,5.7,1006747
1973,Ken Singleton,5.7,1012011
1993,Juan Gonzalez,5.7,1251
1949,Enos Slaughter,5.7,1012060
1966,Al Kaline,5.7,1006678
1945,Roy Cullenbine,5.7,1002861
1938,Ival Goodman,5.7,1004857
1896,Mike Tiernan,5.7,1013062
1997,Raul Mondesi,5.7,1314
1905,Elmer Flick,5.7,1004158
1987,Jack Clark,5.7,1002288
1979,Dave Parker,5.7,1010000
1919,Joe Jackson,5.7,1006301
1967,Frank Robinson,5.7,1011066
1974,Reggie Jackson,5.7,1006308
1927,George Harper,5.7,1005378
1939,Mel Ott,5.6,1009904
1970,Bernie Carbo,5.6,1001935
2011,Shane Victorino,5.6,1677
1929,Kiki Cuyler,5.6,1002914
1969,Frank Howard,5.6,1006080
2006,Ichiro Suzuki,5.6,1101
1989,Ruben Sierra,5.6,1099
1962,Johnny Callison,5.6,1001851
1909,Sam Crawford,5.6,1002748
2001,J.D. Drew,5.6,1152
1964,Johnny Callison,5.6,1001851
1977,Ken Singleton,5.6,1012011
2003,Bobby Abreu,5.6,945
1984,Dale Murphy,5.6,1009355
1932,Paul Waner,5.6,1013597
2015,Jason Heyward,5.6,4940
1891,Paul Radford,5.5,1010640
1970,Bobby Bonds,5.5,1001157
1929,Paul Waner,5.5,1013597
2001,Brian Giles,5.5,990
2008,Alex Rios,5.5,2090
