Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
5/20/1994,SDP,@HOU,3,RF,1,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
5/19/1994,SDP,@HOU,3,RF,1,4,5,2,2,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0.5
5/18/1994,SDP,@CHC,3,RF,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/17/1994,SDP,@CHC,3,RF,1,5,5,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.2
5/16/1994,SDP,@CHC,3,RF,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5/15/1994,SDP,@LAD,3,RF,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
5/14/1994,SDP,@LAD,3,RF,1,4,4,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.75
5/13/1994,SDP,@LAD,3,RF,1,4,4,3,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0.75
5/11/1994,SDP,CIN,3,RF,1,5,5,3,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0.6
5/10/1994,SDP,CIN,3,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5/9/1994,SDP,CIN,2,RF,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5/8/1994,SDP,COL,2,RF,1,3,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.333
5/7/1994,SDP,COL,2,RF,1,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333
5/6/1994,SDP,COL,2,RF,1,4,5,3,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0.75
5/3/1994,SDP,@PHI,2,RF,1,5,5,2,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0.4
5/2/1994,SDP,@PHI,2,RF,1,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5
5/1/1994,SDP,@MON,2,RF-PH,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
4/30/1994,SDP,@MON,2,RF,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
4/29/1994,SDP,@MON,2,RF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4/27/1994,SDP,@NYM,2,RF,1,5,7,2,2,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0.4
4/26/1994,SDP,@NYM,2,RF,1,4,5,1,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0.25
4/24/1994,SDP,PHI,2,RF,1,4,5,3,3,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0.75
4/23/1994,SDP,PHI,2,RF,1,5,5,5,3,1,0,1,4,3,0,0,0,0,0,0,0,0,0,1
4/22/1994,SDP,PHI,2,RF,1,4,4,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5
4/21/1994,SDP,MON,2,RF,1,4,4,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.75
4/20/1994,SDP,MON,2,RF,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/19/1994,SDP,NYM,2,RF,1,4,4,2,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.5
4/18/1994,SDP,NYM,2,RF,1,4,4,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5
4/17/1994,SDP,@STL,2,RF,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/16/1994,SDP,@STL,2,RF,1,5,5,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6
4/15/1994,SDP,@STL,2,RF,1,4,4,1,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0.25
4/14/1994,SDP,@PIT,3,RF,1,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2
4/13/1994,SDP,@PIT,3,RF,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25
4/12/1994,SDP,@PIT,3,RF,1,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
4/4/1994,SDP,ATL,3,RF,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
