Season,Name,WAR,playerid
1896,Billy Hamilton,6,1005270
1930,Carl Reynolds,6,1010864
1944,Augie Galan,6,1004440
1994,Barry Bonds,6,1109
1901,Topsy Hartsel,6,1005464
1885,Pete Browning,6,1001554
1896,Elmer Smith,6,1012134
1894,Ed Delahanty,6,1003155
1890,Hugh Duffy,5.9,1003533
1895,Jesse Burkett,5.9,1001682
2008,Manny Ramirez,5.9,210
1890,Tommy McCarthy,5.9,1008379
1982,Gary Roenicke,5.9,1011120
2009,Carl Crawford,5.9,1201
1891,Hugh Duffy,5.9,1003533
1927,Al Simmons,5.9,1011978
1963,Billy Williams,5.9,1013975
2005,Brian Giles,5.9,990
2018,J.D. Martinez,5.9,6184
2004,Moises Alou,5.9,261
2008,Matt Holliday,5.9,1873
1908,Matty McIntyre,5.9,1008573
1979,Jim Rice,5.9,1010897
1911,Frank Schulte,5.9,1011631
1956,Charlie Maxwell,5.8,1008287
2003,Manny Ramirez,5.8,210
2015,Yoenis Cespedes,5.8,13110
1935,Joe Vosmik,5.8,1013456
1971,Roy White,5.8,1013890
1979,Willie Wilson,5.8,1014113
1982,Rickey Henderson,5.8,194
1955,Stan Musial,5.8,1009405
1998,Greg Vaughn,5.8,1233
1945,Augie Galan,5.8,1004440
1919,George Burns,5.8,1001708
1897,Ed Delahanty,5.8,1003155
1983,Jose Cruz,5.8,1002841
1956,Frank Robinson,5.8,1011066
1962,Tommy Davis,5.8,1003084
1971,Merv Rettenmund,5.8,1010846
1944,Johnny Lindell,5.8,1007619
1969,Carl Yastrzemski,5.8,1014326
1993,Ron Gant,5.7,1032
1896,Jesse Burkett,5.7,1001682
1906,Sherry Magee,5.7,1007965
1939,George Selkirk,5.7,1011732
1907,George Stone,5.7,1012564
1948,Ralph Kiner,5.7,1006923
2010,Carlos Gonzalez,5.7,7287
2005,Jason Bay,5.7,1717
1911,Birdie Cree,5.7,1002752
1911,Jimmy Sheckard,5.7,1011843
1909,Fred Clarke,5.7,1002280
1970,Roy White,5.7,1013890
1919,Joe Jackson,5.7,1006301
1967,Frank Robinson,5.7,1011066
1935,Wally Berger,5.7,1000875
1970,Bernie Carbo,5.6,1001935
1940,Charlie Keller,5.6,1006768
2002,Alfonso Soriano,5.6,847
1997,Ray Lankford,5.6,1044
1949,Bobby Thomson,5.6,1013032
1922,Max Carey,5.6,1001944
1969,Frank Howard,5.6,1006080
1982,Willie Wilson,5.6,1014113
1886,Tip O'Neill,5.6,1009821
1984,Jose Cruz,5.6,1002841
1914,Sherry Magee,5.6,1007965
1900,Jesse Burkett,5.6,1001682
1917,Max Carey,5.6,1001944
2019,Ronald Acuna Jr.,5.6,18401
1992,Rickey Henderson,5.6,194
1943,Augie Galan,5.5,1004440
1992,Tim Raines,5.5,1406
1950,Sid Gordon,5.5,1004877
1984,Rickey Henderson,5.5,194
2001,Brian Giles,5.5,990
1893,Elmer Smith,5.5,1012134
1905,Sherry Magee,5.5,1007965
2004,Carlos Lee,5.5,243
1921,Ken Williams,5.5,1014012
1951,Minnie Minoso,5.5,1008984
1996,Ray Lankford,5.5,1044
1893,Billy Hamilton,5.5,1005270
1959,Frank Robinson,5.5,1011066
1986,Jim Rice,5.5,1010897
