Season,Name,WAR,playerid
1927,Dutch Ulrich,3.5,1013273
1913,Ad Brennan,3.5,1001387
1901,Red Donahue,3.4,1003373
1884,Charlie Ferguson,3.4,1003987
2000,Robert Person,3.4,966
1900,Al Orth,3.4,1009857
1963,Chris Short,3.4,1011931
1914,Erskine Mayer,3.4,1008297
1920,Lee Meadows,3.4,1008705
1975,Tom Underwood,3.4,1013281
1936,Joe Bowman,3.4,1001269
2005,Brett Myers,3.4,962
1967,Rick Wise,3.4,1014155
2001,Randy Wolf,3.4,976
1943,Schoolboy Rowe,3.4,1011259
2016,Jeremy Hellickson,3.4,4371
1967,Chris Short,3.4,1011931
1966,Chris Short,3.3,1011931
1922,Jimmy Ring,3.3,1010972
1949,Robin Roberts,3.3,1011046
1935,Syl Johnson,3.3,1006505
1903,Tully Sparks,3.3,1012306
1908,Tully Sparks,3.3,1012306
1898,Al Orth,3.3,1009857
1946,Ken Raffensberger,3.3,1010646
1918,Brad Hogg,3.3,1005928
1999,Curt Schilling,3.3,73
1936,Bucky Walters,3.3,1013583
1915,Erskine Mayer,3.2,1008297
1976,Jim Lonborg,3.2,1007724
1917,Joe Oeschger,3.2,1009738
1993,Danny Jackson,3.2,1006295
1946,Schoolboy Rowe,3.2,1011259
1980,Dick Ruthven,3.2,1011330
2005,Jon Lieber,3.1,287
2015,Cole Hamels,3.1,4972
1899,Wiley Piatt,3.1,1010305
1885,Ed Daily,3.1,1002933
1930,Phil Collins,3.1,1002461
1974,Dick Ruthven,3.1,1011330
1938,Claude Passeau,3.1,1010046
1896,Jack Taylor,3.1,1012878
1971,Woodie Fryman,3.1,1004381
1949,Russ Meyer,3.1,1008833
1948,Schoolboy Rowe,3.0,1011259
1927,Alex Ferguson,3.0,1003984
1930,Ray Benge,3.0,1000831
1931,Phil Collins,3.0,1002461
1891,Duke Esper,3.0,1003827
1918,Mike Prendergast,3.0,1010519
1969,Woodie Fryman,3.0,1004381
1910,Bob Ewing,3.0,1003880
1905,Togie Pittinger,3.0,1010376
2016,Jerad Eickhoff,3.0,12664
1919,Lee Meadows,3.0,1008705
1892,Kid Carsey,3.0,1002008
1968,Woodie Fryman,2.9,1004381
1921,George Smith,2.9,1012144
1920,George Smith,2.9,1012144
1961,Art Mahaffey,2.9,1007979
2000,Randy Wolf,2.9,976
1901,Bill Duggleby,2.9,1003542
1985,John Denny,2.9,1003210
1976,Jim Kaat,2.9,1006660
1914,Ben Tincup,2.9,1013073
2004,Kevin Millwood,2.9,106
1894,Gus Weyhing,2.9,1013820
1993,Terry Mulholland,2.9,665
1975,Larry Christenson,2.9,1002215
1899,Red Donahue,2.8,1003373
2011,Roy Oswalt,2.8,571
1962,Dennis Bennett,2.8,1000838
2018,Nick Pivetta,2.8,15454
1899,Chick Fraser,2.8,1004305
1991,Tommy Greene,2.8,1005013
1978,Steve Carlton,2.8,1001964
2016,Aaron Nola,2.8,16149
1956,Curt Simmons,2.8,1011980
1895,Kid Carsey,2.8,1002008
1960,Robin Roberts,2.8,1011046
1915,George Chalmers,2.8,1002115
1995,Curt Schilling,2.8,73
1911,Earl Moore,2.7,1009103
1926,Clarence Mitchell,2.7,1008998
1984,John Denny,2.7,1003210
1977,Larry Christenson,2.7,1002215
1942,Tommy Hughes,2.7,1006166
1972,Wayne Twitchell,2.7,1013244
1937,Wayne LaMaster,2.7,1007272
1902,Ham Iburg,2.7,1006252
1912,Ad Brennan,2.7,1001387
1929,Claude Willoughby,2.7,1014046
1927,Jack Scott,2.7,1011683
2003,Vicente Padilla,2.7,964
1942,Si Johnson,2.7,1006502
1986,Bruce Ruffin,2.7,1011294
1938,Al Hollingsworth,2.6,1005955
1944,Charley Schanz,2.6,1011520
1962,Art Mahaffey,2.6,1007979
1924,Jimmy Ring,2.6,1010972
2018,Vince Velasquez,2.6,11189
1943,Al Gerheauser,2.6,1004632
1973,Ken Brett,2.6,1001402
1921,Bill Hubbell,2.6,1006122
1899,Al Orth,2.6,1009857
1924,Bill Hubbell,2.6,1006122
1927,Hub Pruett,2.6,1010551
2006,Cole Hamels,2.6,4972
1904,Tully Sparks,2.6,1012306
1932,Snipe Hansen,2.6,1005330
1983,Charles Hudson,2.5,1006134
1933,Cy Moore,2.5,1009100
1958,Jack Sanford,2.5,1011432
2012,Roy Halladay,2.5,1303
1905,Tully Sparks,2.5,1012306
2003,Randy Wolf,2.5,976
2008,Jamie Moyer,2.5,1091
1943,Dick Barrett,2.5,1000594
1900,Red Donahue,2.5,1003373
1966,Larry Jackson,2.5,1006304
1897,Al Orth,2.5,1009857
1921,Lee Meadows,2.5,1008705
1987,Bruce Ruffin,2.5,1011294
1980,Tug McGraw,2.5,1008545
1950,Bob Miller,2.5,1008875
1922,Bill Hubbell,2.5,1006122
1944,Bill Lee,2.5,1007447
1965,Ray Culp,2.4,1002869
1922,George Smith,2.4,1012144
1944,Dick Barrett,2.4,1000594
1955,Herm Wehmeier,2.4,1013729
1976,Larry Christenson,2.4,1002215
1987,Shane Rawley,2.4,1010719
2006,Jon Lieber,2.4,287
1978,Dick Ruthven,2.4,1011330
1931,Clise Dudley,2.4,1003522
1904,Chick Fraser,2.4,1004305
1970,Dick Selma,2.4,1011737
1988,Kevin Gross,2.4,1005088
1933,Snipe Hansen,2.4,1005330
1990,Terry Mulholland,2.4,665
1970,Woodie Fryman,2.4,1004381
1915,Eppa Rixey,2.4,1011008
2003,Brett Myers,2.3,962
1949,Ken Heintzelman,2.3,1005596
1912,Tom Seaton,2.3,1011706
1953,Bob Miller,2.3,1008875
1898,Red Donahue,2.3,1003373
1915,Al Demaree,2.3,1003187
1951,Russ Meyer,2.3,1008833
1906,Johnny Lush,2.3,1007847
1909,Lew Moren,2.3,1009166
1890,Phenomenal Smith,2.3,1012192
1977,Gene Garber,2.3,1004493
1979,Randy Lerch,2.3,1007551
2009,Cliff Lee,2.3,1636
1949,Curt Simmons,2.3,1011980
2011,Vance Worley,2.3,6435
