Date,Team,Opp,GS,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,GSv2
5/31/2017,Washington Nationals,SFG,1,1,0,1,1,1,1,0,0,0,0,9,31,5,1,1,0,0,0,0,0,0,11,92
5/26/2017,Washington Nationals,SDP,1,1,0,1.04,1,1,0,0,0,0,0,8.2,31,3,1,1,1,2,0,1,0,0,13,86
5/20/2017,Washington Nationals,ATL,1,0,1,5.4,1,1,0,0,0,0,0,5,21,4,3,3,2,3,0,0,0,0,6,41
5/14/2017,Washington Nationals,PHI,1,0,0,4.5,1,1,0,0,0,0,0,6,27,9,3,3,0,0,0,1,0,0,8,57
5/9/2017,Washington Nationals,BAL,1,0,0,2.25,1,1,0,0,0,0,0,8,30,4,2,2,2,2,0,0,0,0,11,69
5/4/2017,Washington Nationals,ARI,1,1,0,1.29,1,1,0,0,0,0,0,7,26,2,1,1,1,2,0,1,0,0,11,76
4/28/2017,Washington Nationals,NYM,1,0,1,7.5,1,1,0,0,0,0,0,6,27,9,5,5,2,1,0,0,0,0,7,36
4/23/2017,Washington Nationals,NYM,1,1,0,3.38,1,1,0,0,0,0,0,8,29,5,3,3,2,1,0,0,0,0,9,64
4/18/2017,Washington Nationals,ATL,1,1,0,0,1,1,0,0,0,0,0,7,25,2,0,0,0,3,0,0,0,0,7,79
4/12/2017,Washington Nationals,STL,1,0,1,1.5,1,1,0,0,0,0,0,6,26,4,3,1,0,2,0,1,3,0,10,65
4/7/2017,Washington Nationals,PHI,1,1,0,2.7,1,1,0,0,0,0,0,6.2,25,4,2,2,0,2,0,0,0,0,7,69
10/2/2016,Washington Nationals,MIA,1,1,0,9,1,1,0,0,0,0,0,5,25,9,5,5,2,2,1,0,0,0,7,27
9/27/2016,Washington Nationals,ARI,1,1,0,3,1,1,0,0,0,0,0,6,26,6,2,2,1,2,0,0,0,1,10,57
9/21/2016,Washington Nationals,MIA,1,1,0,4.05,1,1,0,0,0,0,0,6.2,26,4,3,3,2,2,0,0,0,0,8,54
9/16/2016,Washington Nationals,ATL,1,1,0,2.57,1,1,0,0,0,0,0,7,30,7,2,2,0,2,0,0,0,0,8,65
9/10/2016,Washington Nationals,PHI,1,0,0,0,1,1,0,0,0,0,0,6.2,26,4,0,0,0,1,0,2,0,0,8,77
9/5/2016,Washington Nationals,ATL,1,1,0,2.57,1,1,0,0,0,0,0,7,32,7,2,2,0,2,0,0,0,0,5,62
